date,0 - 17,18 - 34,35 - 54,55 - 74,75 - 119
20211101,0.0018042710527779188,0.0023274066740390886,0.008641818578473404,0.0258072094744816,0.016934985932628696
20211102,0.00182677103907144,0.002325706496765005,0.008667642108223848,0.02582377555129097,0.016949788355765088
20211103,0.0018336776804336915,0.002320741979124679,0.008666501996535087,0.025791533310889264,0.016922008465769398
20211104,0.0018293343286491827,0.0023021080362007184,0.00860504997651085,0.025551872836056217,0.016708285808430284
20211105,0.0018235669270992613,0.0022955113483772724,0.008568509396886047,0.02546685189639822,0.01663690974070413
20211106,0.0017997852960168687,0.0022733410367232173,0.008494744170623186,0.02542749035026026,0.016606493802752642
20211107,0.001797364411415667,0.0022719128878129864,0.008486592372048542,0.025439127676944527,0.016598585658885254
20211108,0.0017841207485973288,0.0022681044907190383,0.008467039456586285,0.025409623631056765,0.01656695308341571
20211109,0.0017704498708493667,0.0022566112923462305,0.008445776373590886,0.025379571946266218,0.016533495551669074
20211110,0.0017542157035236616,0.0022430098741535584,0.008408380710199514,0.025353696008109435,0.016506932299191444
20211111,0.0017417552680763003,0.0022270282077771686,0.008365170477195457,0.02530112267344169,0.016457861252629713
20211112,0.00173947678845164,0.0022132907754025695,0.008339175930691698,0.025274972915833513,0.01643778673358173
20211113,0.0017369134988738971,0.0022072381443068306,0.008343394343940115,0.02530262868042436,0.016436367323143995
20211114,0.001735133436667131,0.0021966290381165462,0.008309076982108398,0.025282708315335408,0.01642724254175855
20211115,0.0017213913564308983,0.002184319754652178,0.00827242239131472,0.025246906422065576,0.016401895926798978
20211116,0.0017260907206567604,0.00218901224392865,0.008281543284824812,0.025248138609596852,0.016379185359795198
20211117,0.0017309324898591636,0.0021835036695606177,0.008280232156382735,0.02522671223752523,0.016366816211694928
20211118,0.0017463834298138917,0.002197853165753887,0.008324468489906678,0.025291744357231426,0.016387093503662586
20211119,0.0017454577974663733,0.0021869040241087856,0.008333475372247892,0.02531009026047486,0.01639763769548577
20211120,0.0017453865949781028,0.0021741866980986373,0.008325380579257686,0.025246290328299937,0.016341672369655034
20211121,0.0017394055859633693,0.002169222180458312,0.008319223976138374,0.0252358167342841,0.016317947938052874
20211122,0.0017451729875132909,0.0021586130742680277,0.008304402524184476,0.025209119337773134,0.01629969837528198
20211123,0.001739263180986828,0.0021537845708096293,0.00828633175391761,0.02518892515323279,0.016283070995868502
20211124,0.0017461698223490798,0.0021536485566277025,0.0083042885130156,0.02519275862555231,0.016280637720832384
20211125,0.0017331397669955533,0.0021388230107976898,0.008278578994434032,0.025139226922804684,0.016236230451423212
20211126,0.0017328549570424707,0.0021368508051597523,0.00826238940845362,0.02509740100160417,0.01620135350923884
20211127,0.001721248951454357,0.0021224333018755198,0.008228357074544093,0.025043253205090907,0.016174384710921856
20211128,0.0017282979977931501,0.002128825968426076,0.008242266437146982,0.025058792458957545,0.016157757331508378
20211129,0.0017492315293447171,0.0021472558900771464,0.008303889473924533,0.025121086384149796,0.016188781588218893
20211130,0.0017676017713185413,0.0021662298684559243,0.008361408108622546,0.02519029425048976,0.01621149215522267
20211201,0.0017791365744183843,0.002188128151746126,0.008402908174093459,0.025217676195629212,0.01622629457835906
20211202,0.0018358137550818106,0.002301223944018195,0.008654473818218654,0.025431734551756874,0.016306389881631307
20211203,0.0018796032853682517,0.002371611283165273,0.00882873988984583,0.025616904955762413,0.016392973918333206
20211204,0.0019190494638701842,0.0024283291970287157,0.00897273599613639,0.02577592560215978,0.016438597825260436
20211205,0.001937490908332279,0.002461516657418836,0.009059726517988882,0.02588326282710643,0.016500849111601146
20211206,0.0019424038800229528,0.00248851547253129,0.009125225934508222,0.025940833366762124,0.01651970699313107
20211207,0.001961557349367754,0.002525851365470175,0.009218715092986654,0.026032494428116438,0.01656350594378121
20211208,0.001989682332234655,0.002554550357856713,0.009308441882892173,0.026139626288474542,0.016613388082021646
20211209,0.001973875379838574,0.0025212268832846664,0.009246476812607993,0.02610019628747373,0.016603249436037817
20211210,0.0019642630439220383,0.002505653259454057,0.009233479539356115,0.02608541003709843,0.016614604719539707
20211211,0.0019786459465527067,0.0025201387698292528,0.009304964542241452,0.02618117839022366,0.01667543659544268
20211212,0.001995592138761118,0.0025402688687544074,0.009381066997466273,0.026286872698461944,0.01670504144171546
20211213,0.00202044180716757,0.002570532024233103,0.00948151083724615,0.026387775166300823,0.016731199148353738
20211214,0.0020348247097982386,0.0025955586337076193,0.009513091931024838,0.026383667874529903,0.016718424454414113
20211215,0.002097340494499857,0.002723956021446444,0.009861738085448065,0.026702735990267363,0.016844346437533266
20211216,0.0021660508956810208,0.0028920695503078715,0.010250060126640186,0.02708074374291749,0.01698060983955593
20211217,0.002215750232493925,0.003016046477134078,0.010506756273364807,0.027352304183837998,0.017068207740856208
20211218,0.0022418103432009775,0.0031031635606581427,0.010631712514453053,0.027436298300553268,0.017084429574430335
20211219,0.0022741362728758464,0.0031818477649027507,0.010757694856061184,0.027536790039215053,0.017113628874863764
20211220,0.0022954258168687664,0.003250942969321525,0.010842861199211658,0.027585119172386183,0.01710855955187185
20211221,0.0023219131425054433,0.003319494117012593,0.010939485664834185,0.027680476796334324,0.017147086406610397
20211222,0.002313796058842591,0.0033330275281143015,0.010871877041690636,0.02757793141178708,0.01709537931209287
