,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
0,2020-05-12,East Midlands,975.0,25.0,4804149.0,85511.0,6043.0,611.6686132373711,342.93236654804235,961.4832649742273,12.732090808119633,7.138254174632018,20.013602096317726,127.32090808119631,71.38254174632019,200.1360209631773
8680,2020-05-12,South East,3346.0,55.0,9133625.0,293477.0,19141.0,682.0405839672511,468.38325066387534,934.4793409704016,7.467359169740943,5.128120003436481,10.231198904820392,74.67359169740942,51.28120003436482,102.31198904820393
2170,2020-05-12,England,13559.0,345.0,55977178.0,1256157.0,85677.0,7525.2215895879735,4793.860097745258,10918.909941165275,13.443374350861301,8.563954577605282,19.50600285917464,134.43374350861302,85.63954577605284,195.0600285917464
13020,2020-05-12,West Midlands,889.0,18.0,5900757.0,83517.0,5955.0,603.328253046424,296.7761174325006,1022.1590421334876,10.224590727027463,5.0294583802129225,17.322506961962468,102.24590727027464,50.29458380212922,173.22506961962466
9765,2020-05-12,South West,1575.0,25.0,5599735.0,159026.0,10909.0,428.6109059492799,239.44823054368285,676.3629199732837,7.654128381955215,4.276063609147268,12.078480856206298,76.54128381955215,42.76063609147269,120.78480856206299
1085,2020-05-12,East of England,1715.0,46.0,6201214.0,161073.0,11008.0,792.7869351016707,524.2384333042446,1115.8045805227766,12.784382785397675,8.453803292456035,17.9933248638537,127.84382785397676,84.53803292456034,179.93324863853698
7595,2020-05-12,Scotland,394.0,27.0,5438100.0,108058.0,7355.0,1776.8108467456966,1032.2236786851618,2715.733841772228,32.67337575156207,18.981329484289766,49.9390199108554,326.7337575156207,189.81329484289765,499.3901991085541
3255,2020-05-12,London,2138.0,44.0,8908081.0,223198.0,14105.0,808.4695502201306,529.2120263626792,1145.6326501400956,9.075687010705566,5.9408084228542535,12.860599832220831,90.75687010705569,59.408084228542506,128.60599832220828
10850,2020-05-12,UK,14302.0,408.0,66435548.0,1468642.0,100615.0,11724.653263693668,7247.627775750366,17511.54619447444,243.68807170385406,144.8997867895346,379.1764303245285,2436.8807170385403,1448.9978678953455,3791.764303245285
11935,2020-05-12,Wales,248.0,34.0,3138631.0,90199.0,6674.0,2220.1522255520035,1404.826638069297,3207.938310426857,70.7363250268032,44.75921629746528,102.20820193348172,707.3632502680321,447.59216297465264,1022.0820193348172
5425,2020-05-12,North West,1346.0,64.0,7292093.0,118926.0,8579.0,1740.1865363968673,1237.7868063307292,2324.396733447511,23.864020061138376,16.974369448260312,31.875577196389447,238.64020061138373,169.74369448260313,318.7557719638945
14105,2020-05-12,Yorkshire and The Humber,1070.0,47.0,5479615.0,90900.0,6766.0,1248.7591204025698,832.4727629780043,1751.5052741051652,22.78917625421805,15.192176147010406,31.964020722353034,227.8917625421805,151.92176147010406,319.6402072235303
