,date,region,tested,tested_positive,population,active_users,newly_sick,covid_in_pop,covid_in_pop_lo,covid_in_pop_up,covid_in_100k,covid_in_100k_lolim,covid_in_100k_uplim,covid_in_mil,covid_in_mil_lolim,covid_in_mil_uplim
0,2020-05-12,East Midlands,975.0,25.0,4804149.0,85540.0,6044.0,612.0459967748543,343.1444381450405,962.0762109688308,12.739946175167637,7.142668517255409,20.025944469433206,127.39946175167637,71.42668517255409,200.25944469433205
2076,2020-05-12,England,13566.0,345.0,55977178.0,1256517.0,85718.0,7529.422445632913,4796.503916850494,10925.09183628153,13.450878937900214,8.568677607953894,19.517046458257557,134.50878937900214,85.68677607953893,195.17046458257562
13494,2020-05-12,Yorkshire and The Humber,1072.0,47.0,5479615.0,90917.0,6770.0,1247.9214144969794,831.9382172825161,1750.3299074321067,22.77388857605835,15.182420978162085,31.94257091843325,227.73888576058346,151.82420978162085,319.42570918433256
4152,2020-05-12,North East,505.0,21.0,2657909.0,40546.0,3174.0,610.1739187848752,323.03550013936297,988.3877702782493,22.956915334004112,12.153745675241813,37.18666704835452,229.56915334004108,121.53745675241815,371.86667048354514
5190,2020-05-12,North West,1346.0,64.0,7292093.0,118944.0,8583.0,1742.1108813445956,1239.155772361602,2326.954370214461,23.890409534609557,16.993142741893195,31.910651307031628,238.90409534609557,169.931427418932,319.10651307031634
6228,2020-05-12,Northern Ireland,101.0,2.0,1881639.0,14229.0,909.0,202.61445982030799,16.729402484856866,669.4461966867442,10.767977269832736,0.8890867209308939,35.57782320023896,107.67977269832735,8.890867209308938,355.7782320023896
7266,2020-05-12,Scotland,394.0,27.0,5438100.0,108086.0,7360.0,1778.9635879971042,1033.4806537177346,2719.013687447771,32.71296202712536,19.004443715962093,49.999332256629536,327.1296202712536,190.04443715962097,499.9933225662953
1038,2020-05-12,East of England,1715.0,46.0,6201214.0,161120.0,11015.0,793.6867196258563,524.8358484554697,1117.066725588988,12.798892597898677,8.463437134333208,18.01367805705444,127.98892597898676,84.63437134333208,180.1367805705444
12456,2020-05-12,West Midlands,889.0,18.0,5900757.0,83541.0,5956.0,603.7332200719758,296.97566481533613,1022.8438080553418,10.231453694364564,5.032840105351502,17.334111675084092,102.31453694364565,50.32840105351502,173.3411167508409
8304,2020-05-12,South East,3350.0,55.0,9133625.0,293572.0,19152.0,681.9362278978192,468.3104569098157,934.3378859852733,7.466216621525619,5.127323016981929,10.229650177068503,74.66216621525619,51.273230169819286,102.29650177068504
9342,2020-05-12,South West,1575.0,25.0,5599735.0,159071.0,10913.0,428.98570098629926,239.65806158812617,676.9548028868895,7.660821467199773,4.279810769404734,12.089050694129089,76.60821467199774,42.79810769404735,120.89050694129088
10380,2020-05-12,UK,14310.0,408.0,66435548.0,1469054.0,100661.0,11723.457048654253,7246.598699111057,17511.253279414035,243.57033136852618,144.8141606693897,379.05782755107435,2435.7033136852615,1448.1416066938968,3790.5782755107434
11418,2020-05-12,Wales,249.0,34.0,3138631.0,90222.0,6674.0,2212.4565552039267,1399.8847260579712,3197.701558997985,70.49113308330692,44.60176191651619,101.88204854275592,704.9113308330693,446.0176191651619,1018.8204854275592
3114,2020-05-12,London,2139.0,44.0,8908081.0,223266.0,14111.0,808.828365649658,529.4499571532243,1146.1403548713918,9.07971498743285,5.9434793773566295,12.8662992048612,90.79714987432848,59.43479377356631,128.662992048612
12457,2020-05-13,West Midlands,927.0,20.0,5900757.0,86092.0,6175.0,642.7241416523659,329.16855249779024,1063.1711835353774,10.892231990782976,5.578412269778101,18.017538826550176,108.92231990782976,55.78412269778102,180.17538826550174
13495,2020-05-13,Yorkshire and The Humber,1080.0,42.0,5479615.0,93508.0,6875.0,1089.385225571836,706.8268644588536,1556.0283985810956,19.88068916469197,12.899206686215248,28.39667382801704,198.80689164691967,128.99206686215248,283.9667382801704
