date,0 - 17,18 - 34,35 - 54,55 - 74,75 - 119
20211101,1.0,1.0,0.9998313232689551,0.9998724286397703,1.0
20211102,1.0,1.0,0.999915697184286,0.9998723023879453,1.0
20211103,1.0,1.0,0.9999150670969934,0.9998729432691696,1.0
20211104,1.0,1.0,0.9999571954455954,0.9999358316221766,1.0
20211105,1.0,1.0,0.9999565991059416,0.9999680296684677,1.0
20211106,1.0,1.0,0.9999556894718185,0.9999680796731358,1.0
20211107,1.0,1.0,0.999955713020372,0.9999685168277556,1.0
20211108,1.0,1.0,1.0,1.0,1.0
20211109,1.0,1.0,1.0,1.0,1.0
20211110,1.0,1.0,1.0,1.0,1.0
20211111,1.0,1.0,1.0,1.0,1.0
20211112,1.0,1.0,1.0,1.0,1.0
20211113,1.0,1.0,1.0,1.0,1.0
20211114,1.0,0.9997734481196194,1.0,1.0,0.9997458057956279
20211115,1.0,0.9997708524289642,1.0,1.0,0.9997389715478987
20211116,1.0,0.9997689997689998,1.0,1.0,0.9997289238275956
20211117,1.0,0.9997692662667282,1.0,1.0,0.9997200447928332
20211118,1.0,0.9997711146715496,1.0,1.0,0.9997146932952924
20211119,1.0,0.9997682502896872,1.0,1.0,0.9997111496244945
20211120,1.0,0.9997659723847414,1.0,1.0,0.9997031760166222
20211121,1.0,1.0,1.0,1.0,1.0
20211122,1.0,1.0,1.0,1.0,1.0
20211123,1.0,1.0,1.0,1.0,1.0
20211124,1.0,1.0,0.9999574087482431,1.0,1.0
20211125,1.0,1.0,0.9999579955475281,1.0,1.0
20211126,1.0,1.0,0.9999584147710733,1.0,1.0
20211127,1.0,1.0,0.9999585921325052,1.0,1.0
20211128,1.0,1.0,0.9999588036582352,1.0,1.0
20211129,1.0,1.0,0.9999598022269566,1.0,1.0
20211130,1.0,1.0,0.9999609786553245,1.0,1.0
20211201,1.0,1.0,0.9999618480790508,1.0,1.0
20211202,1.0,1.0,0.9999634876588287,1.0,1.0
20211203,1.0,1.0,0.9999291508732154,1.0,1.0
20211204,1.0,1.0,0.9999654529123195,1.0,1.0
20211205,1.0,1.0,0.9999660959484659,1.0,1.0
20211206,1.0,1.0,0.9999665014069409,1.0,1.0
20211207,1.0,1.0,0.9999673703788299,1.0,1.0
20211208,1.0,1.0,0.99993627326026,1.0,1.0
20211209,1.0,1.0,0.9999362793513238,1.0,1.0
20211210,1.0,1.0,0.9999682206756284,1.0,1.0
20211211,1.0,1.0,0.9999372194494146,1.0,1.0
20211212,1.0,1.0,0.9999386634771675,1.0,1.0
20211213,1.0,1.0,0.9999406087602078,1.0,1.0
20211214,1.0,1.0,0.9999419936773108,1.0,1.0
20211215,1.0,1.0,0.999972607242645,1.0,1.0
20211216,1.0,0.9998995176848875,0.9998989286436224,0.999973797295881,1.0
20211217,1.0,0.9999108337048596,0.9999287089185143,0.9999491611591256,1.0
20211218,1.0,0.9998373851532645,0.9999314473744344,0.999949997499875,1.0
20211219,0.9998376359798669,0.9998489882210813,0.9999336752741422,0.999950768018905,1.0
20211220,0.9998395893487327,0.9998583168036271,0.9999349099587763,0.9999753767359402,1.0
20211221,0.9998420470699731,0.9998666399946656,0.9999366674407313,0.9999757175465009,1.0
20211222,0.9998419222257351,0.9998709094429743,0.9999159169259229,0.9999758395747765,1.0
20211223,0.9996747967479674,0.9998708010335917,0.9999574857045682,1.0,1.0
20211224,0.9996717544723454,0.999935379644588,0.9999356167911408,1.0,1.0
20211225,0.9996589358799455,1.0,0.9999556649154309,1.0,1.0
20211226,0.999820788530466,1.0,0.9999534905353239,1.0,1.0
20211227,0.9998139534883721,1.0,0.9999520303168398,1.0,1.0
